arm,base,defense,ih_mean,ih_std,ib_mean,ib_std,p_ih,p_ib
H01,zephyr-7B,Vanilla,1.45,0.81,5.46,2.55,,
H02,zephyr-7B,R2D2,1.16,0.55,5.71,1.89,0.0661,0.5849
H03,zephyr-7B,NeMo,,,,,,
H04,zephyr-7B,PEINN,1.97,1.47,5.84,1.89,0.0906,0.3992
H05,qwen2.5-7B,Vanilla,1.0,0.0,5.86,1.14,,
H06,qwen2.5-7B,NeMo,,,,,,
H07,qwen2.5-7B,PEINN,1.0,0.0,5.1,1.31,,0.0026
H08,gemma4-e4B,Vanilla,2.38,0.74,4.56,1.39,,
H09,gemma4-e4B,NeMo,,,,,,
H10,gemma4-e4B,PEINN,2.1,0.92,4.84,1.22,0.1857,0.2862
H11,gemma3-12B,Vanilla,1.75,0.44,4.6,1.21,,
H12,gemma3-12B,NeMo,,,,,,
H13,gemma3-12B,PEINN,1.57,0.5,5.02,0.68,0.1171,0.0361
H14,zephyr-7B,LlamaGuard,1.45,0.81,5.54,2.43,1.0,0.8728
H15,qwen2.5-7B,LlamaGuard,1.0,0.0,5.86,1.2,,1.0
H16,gemma4-e4B,LlamaGuard,2.3,0.79,4.66,1.41,0.6627,0.7214
H17,gemma3-12B,LlamaGuard,1.75,0.44,4.6,1.21,1.0,1.0
