arm,base,defense,asr_mean,asr_sd,n_runs
H01,zephyr-7B,Vanilla,86.8,8.01,10
H02,zephyr-7B,R2D2,21.6,5.32,10
H03,zephyr-7B,NeMo,0.0,0.0,10
H04,zephyr-7B,PEINN,3.6,2.07,10
H05,qwen2.5-7B,Vanilla,18.6,4.81,10
H06,qwen2.5-7B,NeMo,0.0,0.0,10
H07,qwen2.5-7B,PEINN,0.0,0.0,10
H08,gemma4-e4B,Vanilla,11.8,4.16,10
H09,gemma4-e4B,NeMo,0.0,0.0,10
H10,gemma4-e4B,PEINN,0.0,0.0,10
H11,gemma3-12B,Vanilla,30.8,7.5,10
H12,gemma3-12B,NeMo,0.0,0.0,10
H13,gemma3-12B,PEINN,0.0,0.0,10
H14,zephyr-7B,LlamaGuard,2.2,3.05,10
H15,qwen2.5-7B,LlamaGuard,1.8,1.99,10
H16,gemma4-e4B,LlamaGuard,2.2,1.99,10
H17,gemma3-12B,LlamaGuard,2.6,2.32,10
