arm,base,defense,clean_acc,perturbed_acc,gap
H01,zephyr-7B,Vanilla,38.2,32.0,6.2
H02,zephyr-7B,R2D2,31.6,26.5,5.0
H03,zephyr-7B,NeMo,0.0,0.0,0.0
H04,zephyr-7B,PEINN,38.2,31.7,6.5
H05,qwen2.5-7B,Vanilla,41.3,38.5,2.8
H06,qwen2.5-7B,NeMo,0.0,0.0,0.0
H07,qwen2.5-7B,PEINN,40.9,38.4,2.5
H08,gemma4-e4B,Vanilla,51.1,46.7,4.4
H09,gemma4-e4B,NeMo,0.0,0.0,0.0
H10,gemma4-e4B,PEINN,50.7,48.6,2.1
H11,gemma3-12B,Vanilla,57.3,52.1,5.2
H12,gemma3-12B,NeMo,0.0,0.0,0.0
H13,gemma3-12B,PEINN,53.3,51.0,2.4
H14,zephyr-7B,LlamaGuard,38.2,32.7,5.5
H15,qwen2.5-7B,LlamaGuard,41.8,38.2,3.6
H16,gemma4-e4B,LlamaGuard,54.2,51.1,3.1
H17,gemma3-12B,LlamaGuard,57.3,52.3,5.0
