arm,base,defense,orr,ucr
H01,zephyr-7B,Vanilla,0.0,15.0
H02,zephyr-7B,R2D2,14.4,22.0
H03,zephyr-7B,NeMo,100.0,0.0
H04,zephyr-7B,PEINN,3.2,5.0
H05,qwen2.5-7B,Vanilla,2.4,15.0
H06,qwen2.5-7B,NeMo,100.0,0.0
H07,qwen2.5-7B,PEINN,6.4,5.0
H08,gemma4-e4B,Vanilla,9.6,6.0
H09,gemma4-e4B,NeMo,100.0,0.0
H10,gemma4-e4B,PEINN,9.6,4.0
H11,gemma3-12B,Vanilla,8.0,8.0
H12,gemma3-12B,NeMo,100.0,0.0
H13,gemma3-12B,PEINN,14.4,2.0
H14,zephyr-7B,LlamaGuard,7.2,14.0
H15,qwen2.5-7B,LlamaGuard,6.4,9.0
H16,gemma4-e4B,LlamaGuard,12.8,4.0
H17,gemma3-12B,LlamaGuard,11.2,7.0
